аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
-чӀана;(–илъ);ромашка аптечная;NOUN
-чӀана̄с;(–улъ,–иÛари);нетель;NOUN
чӀанар;(–алъ,–а);корова;NOUN
чӀанар;(чIаракьетIулъ);см. щакибáкьетIв;UNKN
чӀанар;(–лъ,–би);пол;NOUN
чӀани=ла;(чIарýлъ,–аби);узел;NOUN
чӀани=ла;(чIарýлъ,–аби);заворот;NOUN
чӀантӀ;(чIарýлъ,–аби);бревно;NOUN
чӀантӀалъал;(–лъ,–аби);обрабатываемая земля;PRTF
чӀара;(чIáтулъ,–аби);лошадь;NOUN
чӀара-зин;(чIáтIулъ);ежевика;NOUN
чӀаракьетӀв;(чIáтIулъ,–аби);кудель;NOUN
чӀарбил;(чIáтIулъ,–аби);сетка;NOUN
чӀарв;;захлёбываться плачем;INFN
чӀарв;(–лъ);ежевика;NOUN
чӀарв;(–лъ);выжимки;NOUN
чӀархъим;(–лъ);шкварки;NOUN
чӀатв;(–лъ);мытник;NOUN
чӀатӀ=в;;да здравствует!;INTJ
чӀатӀв;(–л,–лас̄,–ла,–л̄о,–лēх);поздравлять;INFN
чӀатӀв;(–л,–лас̄,–ла,–л̄о,–лēх);желать здоровья;INFN
чӀатӀуратал;(–лъилъ);поздравление;NOUN
чӀах̄ума;(–лъилъ);пожелание здоровья;NOUN
чӀах̄ума;(чIáхьулъ,–аби);ручка;NOUN
чӀахъа;(–лъ);чина;NOUN
чӀахъа;(–илъ);бурьян;NOUN
чӀахъида=йла;(–лъ);виноградная водка;ADJF
чӀахъида=йла;(–лъ);труха;NOUN
чӀахъидалар;(чIачIáНлъ, чIáчIами);яйцо;NOUN
чӀахъидалар;(чIачIáНлъ, чIáчIами);клубок;NOUN
чӀахъидалар;(чIачIáНлъ, чIáчIами);ягода;NOUN
чӀахьв;;см. ЧIÁЙ/ЛА;UNKN
чӀахьутӀа;(–лъ);провокация рвоты;NOUN
чӀахӀ;(–л,–ас̄,–ла,–л̄о,–ēх);рвоту вызывать;NOUN
чӀачӀа;;см. ЧIÁЙ/ЛА;UNKN
чӀачӀал;(–лъилъ);рвота;NOUN
чӀачӀан;(–лъилъ);высказывание;NOUN
чӀачӀан;;двадцать;NUMR
чӀачӀан;;двадцать;NUMR
чӀа̄лар;;двадцатый;ADJF
чӀа̄лар;(–лъ);чепуха;NOUN
чӀа̄ли=ла;;докучный рассказ;ADJF
чӀа̄р;;докучный рассказ;ADJF
чӀа̄р;;докучный рассказ;ADJF
чӀа̄р;(–алъ/чIáНкIвалъ,–аби);ступень;NOUN
чӀа̄цӀабулъу=б;(–алъ/чIáНкIвалъ,–аби);ступень;NOUN
чӀа̄цӀада;(–л,–лас̄,–ла,–л̄о,–лēх);переваривать;INFN
чӀа̄цӀайл̄ъ̄об=чӀа̄цӀалгьилал̄ъ̄о=б;;см. ЧIÁНКIИДА/ЙЛА;UNKN
чӀаᵸда;(–лъилъ);уплотнение;NOUN
чӀаᵸйтуб;;см. ЧIÁНКIИДИ/ЛА;UNKN
чӀанкӀвал;;см. ЧIÁНКIИДИ/ЛА;UNKN
чӀаᵸкӀол;;плотный;ADJF
чӀанкӀида=йла;(–илъ,–иби);палка;NOUN
чӀанкӀидалар;(–илъ,–иби);свадебная палочка;ADJF
чӀанкӀидалар;(–илъ,–иби);уточная палка;ADJF
чӀанкӀидар;(чIаᴴтIвáлъ, чIаᴴтIуÛáри);лепешка сыра;NOUN
чӀанкӀидар;(чIаᴴтIвáлъ, чIаᴴтIуÛáри);мальва;NOUN
чӀанкӀиди=ла;;дважды;ADVB
чӀанкӀиду=б;;второй раз;NOUN
чӀанкӀиду=б;;второй раз;NOUN
чӀантӀа;(–илъ);лук;NOUN
чӀантӀа;(чIáНщулъ,–аби);ящерица;NOUN
чӀантӀа;;см. ЧIВАКЬÁДИ/ЛА;UNKN
чӀаᵸтӀур;(–лъ);чавканье;NOUN
чӀаᵸтӀур;(–ø,–ас̄,–бе,–б/о,–āх);чавкать;INFN
чӀаᵸцӀида;(–илъ,–аби);полоска;NOUN
чӀаᵸцӀилгьила;(–илъ,–аби);шнурки;NOUN
чӀаᵸцӀихинди;;см. эх̄éтел;UNKN
чӀанча;(чIвáни, чIванáс̄, чIванá, чIванӣ/б/о, чIван́а̄х);связывать;INFN
чӀаᵸщв=кӀаᵸщв;(чIвáни, чIванáс̄, чIванá, чIванӣ/б/о, чIван́а̄х);связывать;INFN
чӀвакьадар;(–л,–лас̄,–лá,–л̄о,–лēх);см. ЧIВÁ/ЙНА;UNKN
чӀвакьадар;(–л,–лас̄,–лá,–л̄о,–лēх);обвязывать;INFN
чӀвакьади=ла;;см. ЧIВАНÁ/ЙЛА;UNKN
чӀвал;(–лъ);обвязывание;NOUN
чӀвал;;см. ЧIВÁН/ИЛА;UNKN
чӀвалаби;(–лъ);связывание;NOUN
чӀва=йна;;конкретно;ADJS
чӀван=ила;(–илъ,–аби);развалина;NOUN
чӀвана=йла;(в лицо);прямо;ADJS
чӀвана=йла;;звукоподражание кипению масла;NOUN
чӀваналар;(–л,–лас̄,–лá,–л̄о,–лēх);см. ЧIВАЧIВÁНИ/ЛА;UNKN
чӀваналар;(–л,–лас̄,–лá,–л̄о,–лēх);обвязывать;INFN
чӀванар;;см. ЧIВАЧIВАНÁ/ЙЛА;UNKN
чӀванар;(–лъ);обвязывание;NOUN
чӀванкъотӀидибо;;см. ЧIВАЧIВÁНИ/ЛА;UNKN
чӀвар;(–лъ);связывание;NOUN
чӀваркьидибо;(–ø,–ас̄,–á,–б/о,–āх);связывать;INFN
чӀвар-чӀвар;(–лъ,–би);перепел;VERB
чӀвачӀвана=йла;(–лъ,–би);перепел;VERB
чӀвачӀвана=йла;(–л,–лас̄,–ла,–л̄о,–лēх);см. ЧIВÁНЙX̄И/ЛА;UNKN
чӀвачӀваналар;;см. ЧIВÁНЙX̄И/ЛА;UNKN
чӀвачӀваналар;(–лъ);хлебание;NOUN
чӀвачӀванар;(–ø,–ас̄,–á,–б/о,–ēх);надуваться;INFN
чӀвачӀванар;(–ø,–ас̄,–бе,–б/о,–āх);чавкать;INFN
чӀвачӀвани=ла;;звукоподражание звуку звонкой пощечины;NOUN
чӀва̄ра;;звонко;ADJS
чӀвачӀвара;;две тысячи;NUMR
чӀванйх̄а=йла;;две тысячи;NUMR
чӀванйх̄ар;(–лъ,–би);ком;NOUN
чӀванйх̄ар;;двести;NUMR
чӀванйх̄и=ла;;двести;NUMR
чӀваᵸкӀади=ла;(–лъ,–би);буза;NOUN
чӀвгӀарх̄;;два;NUMR
чӀвгӀарх̄иди=б=о;(–лъ,–аби);рубец;NOUN
чӀеда̄зар;(–ал/–ø,–алас̄/–ас̄,–ала/–а,–ал̄о/–л̄о,–алēх/–ēх);складывать;INFN
чӀ̄еазарда;;см. ЧIÉКIВ/АЙЛА/ЧIÉКIВАЛ/ИЛА;UNKN
чӀебера=чӀебер;(–лъ);складывание;NOUN
чӀебешен;(чIерýлъ);крапива;NOUN
чӀебешенда;;см. чIéркъина;UNKN
чӀегӀе;(–лъ);сучение;NOUN
чӀеда;(–ø,–ас̄,–á,–б/о,–́а̄х);скручивать;INFN
чӀекӀва̄бакӀвал;;худой;ADJF
чӀекӀв=айла=чӀекӀвал=ила;(–л,–лас̄,–ла,–л̄о,–лēх);см. ЧIÉТИ/ЛА;UNKN
чӀекӀвалар;;см. ЧIÉТИ/ЛА;UNKN
чӀекӀвалар;(–лъ);худение;NOUN
чӀерв;(–ø,–áс̄,–бé,–б/о,–е́̄х);худеть;INFN
чӀеркъан;(–лъ);ботва;NOUN
чӀеркъан;;второй;NOUN
чӀеркъи=ла;;второй;NOUN
чӀета=б;(–валъ);шиповник;NOUN
чӀета=йла;;по два;NOUN
чӀетар;;см. ЧĪ́ЕБЕЛЪИ/ЛА;UNKN
чӀетар;(–лъ);рассыпание;NOUN
чӀети=ла;(–ø,–ас̄,–бе,–б/о,–ēх);рассыпаться;INFN
чӀех̄а;(–ø,–ас̄,–бе,–б/о,–ēх);разливаться;INFN
чӀечӀ̄ил̄ъ̄о=б;(чIēл, чIēлáс̄, чIēлá, чIе́̄л̄о, чIéле́̄х);рушить;INFN
чӀечӀилгьилал̄ъ̄о=б;(чIēл, чIēлáс̄, чIēлá, чIе́̄л̄о, чIéле́̄х);рушить;INFN
чӀещ=в;(чIе, чIес̄, чIе, чIе́̄/б/о, чIед́а̄х);бросать;INFN
чӀ̄е-чӀе̄;(чIе, чIес̄, чIе, чIе́̄/б/о, чIед́а̄х);ссыпать;INFN
чӀ̄ебелъар;(чIе, чIес̄, чIе, чIе́̄/б/о, чIед́а̄х);сливать;INFN
чӀ̄ебелъар;(чIе, чIес̄, чIе, чIе́̄/б/о, чIед́а̄х);задать;INFN
чӀ̄ебелъи=ла;;см. ЧĪ́ЕЛА, ЧĪ́ЕЛИЛА;UNKN
чӀ̄ебелъи=ла;(–лъ);разрушение;NOUN
чӀ̄ейла;;вдвое;ADVB
чӀ̄елила;;см. ЧĪ́ЕРАКЪИ/НА;UNKN
чӀ̄ела;(чIе́̄ракъаᴴлъ);объединение;NOUN
чӀ̄ела;;см. ЧĪ́ЕЛА;UNKN
чӀ̄ела;(–лъ);швыряние;NOUN
чӀ̄ела;(–лъ);осыпание;NOUN
чӀ̄елар;(–лъ);выплескивание;NOUN
чӀ̄елар;(–иᴴ,–аᴴс̄,–ме,–м/о,–нāх);объединяться;INFN
чӀе̄микъар;(–илъ,–аби);двухлеток;NOUN
чӀ̄еракъан;(–ø,–ас̄,–бе,–б/о,–ēх);в панике броситься;NOUN
чӀ̄еракъан;;кроме;PREP
чӀе̄р;(–илъ/–лъ, –аби);таз;NOUN
чӀе̄р;(–илъ/–лъ, –аби);блюдо;NOUN
чӀе̄р;;см. щIáгъа;UNKN
чӀе̄р;;если;CONJ
чӀ̄еракъи=на;(–илъ,–иби);селезенка;NOUN
чӀе̄реш;(–л,–лас̄,–ла,–л̄о,–лēх);отламывать;INFN
чӀ̄еробелъи=ла;;см. ЧÍИКЬИДА/ЙЛА;UNKN
-чӀи;(–лъ);отламывание;NOUN
чӀигъ;;см. ЧÍИКЬИДИ/ЛА;UNKN
чӀигъ;(–лъ);трещина;NOUN
чӀигъа;(–лъ);отбивка;NOUN
-чӀ̄ида;(–ø,–ас̄,–бе,–б/о,–āх);треснуть;INFN
чӀикъ;(–ø,–ас̄,–бе,–б/о,–āх);отбиваться;INFN
чӀикьида=йла;;звукоподражание чавканью грязи;NOUN
чӀикьидалар;(чIӣкIулъ,–аби);пядь;NOUN
чӀикьидалар;(–л,–лас̄,–ла,–л̄о,–лēх);искривлять;INFN
чӀикьидар;;см. ЧÍИКIИДА/ЙЛА;UNKN
чӀикьидар;(–лъилъ);загибание;NOUN
чӀикьидар;(–лъ);см. ЧÍИКIИДИ/ЛА;UNKN
чӀикьиди=ла;(–лъ);загнутость;NOUN
чӀикьиди=ла;(–ø,–ас̄,–бе,–б/о,–āх);загибаться;INFN
чӀикь-чӀвакь;;см. ЧÍИКЬИДИ/ЛА;UNKN
чӀикӀв;;загнутый;PRTF
чӀикӀида=йла;(–л,–лас̄,–ла,–л̄о,–лēх);загибать;INFN
чӀикӀидалар;;см. ЧÍИКIИТIИДА/ЙЛА;UNKN
чӀикӀидалар;(–лъилъ);загибание;NOUN
чӀикӀидар;;изогнутый;PRTF
чӀикӀидар;(–илъ,–иби);щека;NOUN
чӀикӀиди=ла;(ещё что–то);помимо;PREP
чӀикӀиду=б;(–улъ,–би);см. кI’илӣкIа’а;UNKN
чӀикӀиду=б;;см. ЧÍИМЧIИДИ/ЛА;UNKN
чӀикӀитӀида=йла;(–лъ);тресканье;NOUN
чӀикӀитӀидалар;;см. ЧÍИНЧIИДИ/ЛА;UNKN
чӀикӀитӀидалар;(–лъ);тресканье;NOUN
чӀикӀ-чӀикӀиду=б;(–ø,–ас̄,–бе,–б/о,–āх);трескаться;INFN
чӀила;(–ø,–ас̄,–бе,–б/о,–āх);трескаться;INFN
чӀила;;см. ЧÍИМЧIИДИ/ЛА;UNKN
чӀиличӀа;;грубый;ADJF
чӀимчӀидар;(–лъ,–дари);каменный каток;ADJF
чӀимчӀидар;(–илъ,–аби);дуга;NOUN
чӀинчӀидар;;звукоподражание чириканью птиц;NOUN
чӀинчӀидар;;см. ЧIИРЧÍИРИДИ/ЛА;UNKN
чӀимчӀиди=ла;(–лъилъ);щебет;NOUN
чӀинчӀиди=ла;(–ø,–ас̄,–бе,–б/о,–āх);щебетать;INFN
чӀимчӀиду=б;(–улъ);угли;NOUN
чӀимчӀиду=б;;см. тIвакъá–тIикъи;UNKN
чӀиргъам;(чIичIáНлъ);сланец;NOUN
чӀиргъамч;;см. кI’илӣкIа;UNKN
чӀир-чӀир;;двухлетний;ADJF
чӀирчӀиридар;(–би);марля;NOUN
чӀирчӀиридар;(–би);тюль;NOUN
чӀирчӀириди=ла;;см. кIýрма;UNKN
чӀитӀв;(–лъ,–би);метка;ADJS
чӀихъи-чӀвахъ;(–лъ,–би);чижик;NOUN
чӀичӀан;;см. с̄ӣтIа;UNKN
чӀичӀитӀ;;см. чалалá;UNKN
чӀ̄ила=б;(–ø,–ас̄,–бе,–б/о,–āх);цывкать;INFN
чӀинчӀа;;цып–цып;NOUN
чӀинчӀа;;см. тáрабла;UNKN
чӀор;(–л,–лас̄,–ла,–л̄о,–лēх);см. ЧÍУНИ/ЛА;UNKN
чӀӯ;;см. щIвагIáлила²;UNKN
чӀӯ;;см. ЧÍУНИ/ЛА;UNKN
чӀубитӀа;(–лъ);общипывание;NOUN
чӀугьа;(–лъ);лузганье;NOUN
чӀугьди=ла;(–лъ);ограбление;NOUN
чӀугь-чӀугь;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);общипывать;INFN
-чӀула;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);лузгать;INFN
чӀуна=йла;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);обдирать;INFN
чӀуна̄ла;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);общипывать;INFN
чӀунар;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);лузгать;INFN
чӀунар;(–ø,–ас̄/–нас̄,–á/–нá,–б/о–ни/б/о,–āх/–нāх);обдирать;INFN
чӀунар;(чIурáй );же;CONJ
чӀунар;;см. ЧÍУРДИ/ЛА;UNKN
чӀуни=ла;(–лъ);лущение;NOUN
чӀуни=ла;(–лъ);лузганье;NOUN
чӀуни=ла;(–ø,–ас̄,–а,–б/о,–āх);лущить;INFN
чӀе=йна;(–ø,–ас̄,–а,–б/о,–āх);лузгать;INFN
чӀе=йна;;изящный;ADJF
чӀе=йна;(–л,–лас̄,–ла,–л̄о,–лēх);см. ЧIУРКÁНЛГЬИ/ЛА;UNKN
чӀурав;;см. ЧIУРКÁНЛГЬИ/ЛА;UNKN
чӀурдар;(–лъ);изящество;NOUN
чӀурдар;(–ø,–ас̄,–бе,–б/о,–ēх);становиться изящным;INFN
чӀурдар;(–илъ);козел;NOUN
чӀурди=ла;(–илъ,–аби);гордость;NOUN
чӀурди=ла;(–илъ,–аби);пренебрежение;NOUN
чӀуркана=б;(–щу/б,–лъилъ,–аби);гордец;NOUN
чӀурканлгьа=йла;(–лъ,–би);кувшин;NOUN
чӀурканлгьар;(–ду/б);старейшины;NOUN
чӀурканлгьар;;напоказ;ADVB
чӀурканлгьи=ла;(–л,–лас̄,–ла,–л̄о,–лēх);украшать;INFN
чӀута;(–л,–лас̄,–ла,–л̄о,–лēх);развивать самомнение;INFN
чӀухӀ;;см. ЧÍУХIИДА/ЙЛА;UNKN
чӀухӀ;(–лъ);украшение;NOUN
чӀухӀасури;(–лъ);развитие самомнения;NOUN
чӀухӀасури;;см. ЧÍУХIИДИ/ЛА;UNKN
чӀухӀби;(–лъ);зазнайство;NOUN
чӀухӀдала;(–лъ);гордость;NOUN
чӀухӀида=йла;(–лъ);пренебрежение;NOUN
чӀухӀида=йла;(–ø,–ас̄,–бе,–б/о,–āх);гордиться;INFN
чӀухӀидалар;(–ø,–ас̄,–бе,–б/о,–āх);чваниться;INFN
чӀухӀидалар;(–ø,–ас̄,–бе,–б/о,–āх);пренебрегать;INFN
чӀухӀидалар;;горделивый;ADJF
чӀухӀидар;(–лъ);крошево;NOUN
чӀухӀидар;(–л,–лас̄,–ла,–л̄о,–лēх);см. ЧÍУЧIУНИ/ЛА;UNKN
чӀухӀидар;;см. ЧÍУЧIУНИ/ЛА;UNKN
чӀухӀидар;(–лъ);общипывание;NOUN
чӀухӀиди=ла;(–лъ);щипки;NOUN
чӀухӀиди=ла;(–лъ);лузганье;NOUN
чӀухӀиди=ла;(–ø,–ас̄,–а,–б/о,–āх);общипывать;INFN
чӀухӀиду=б;(–ø,–ас̄,–а,–б/о,–āх);щипать;INFN
чӀучӀу;(–ø,–ас̄,–а,–б/о,–āх);лузгать;INFN
чӀучӀуна=йла;(–л,–лас̄,–ла,–л̄о,–лēх);разваливать;INFN
чӀучӀунар;(–л,–лас̄,–ла,–л̄о,–лēх);утомлять;INFN
чӀучӀунар;;см. ЧÍУНТИДА/ЙЛА;UNKN
чӀучӀунар;(–лъ);приведение в ветхость;NOUN
чӀучӀунар;(–лъ);утомление;NOUN
чӀучӀуни=ла;;см. ЧÍУНТИДИ/ЛА;UNKN
чӀучӀуни=ла;(–лъ);развал;NOUN
чӀучӀуни=ла;(–лъ);утомление;NOUN
чӀунтида=йла;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);рушиться;INFN
чӀунтида=йла;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);разваливаться;INFN
чӀунтидалар;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);чувствовать себя разбитым;INFN
чӀунтидалар;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);рушиться;INFN
чӀунтидалар;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);разваливаться;INFN
чӀунтидар;(–ø,–ас̄,–бе/–абе,–б/о,–āх/–ēх);чувствовать себя разбитым;INFN
чӀунтидар;;безвкусный;ADJF
чӀунтидар;;см. ЧÍУНЧIАЛГЬИ/ЛА;UNKN
чӀунтиди=ла;(–лъ);потеря вкуса;NOUN
чӀунтиди=ла;(–ø,–ас̄,–бе,–б/о,–ēх);становиться безвкусным;INFN
чӀунтиди=ла;(–л,–лас̄,–ла,–л̄о,–лēх);баловать;INFN
чӀунти=ла;;см. ЧÍУНЧIАX̄А/ЙЛА;UNKN
чӀунти=ла;(–лъ);баловство;NOUN
чӀунти=ла;(–лъ);см. ЧÍУНЧIАX̄И/ЛА;UNKN
чӀуᵸчӀа=б;(–лъ);баловство;NOUN
чӀунчӀалгьар;(–ø,–ас̄,–бе,–б/о,–ēх);избаловаться;INFN
чӀунчӀалгьар;;избалованный;PRTF
чӀунчӀалгьи=ла;;см.ШАБ̄́Е/ЛА;ADVB
чӀунчӀах̄а=йла;;кастрированный;PRTF
